ISBN,Book-Title,Book-Author
0316666343,The Lovely Bones: A Novel,Alice Sebold
0971880107,Wild Animus,Rich Shapero
0385504209,The Da Vinci Code,Dan Brown
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant
0679781587,,
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling
0142001740,The Secret Life of Bees,Sue Monk Kidd
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts
044023722X,A Painted House,John Grisham
0452282152,Girl with a Pearl Earring,Tracy Chevalier
0316601950,The Pilot's Wife : A Novel,Anita Shreve
0671027360,Angels &amp; Demons,Dan Brown
067976402X,Snow Falling on Cedars,David Guterson
0316769487,The Catcher in the Rye,J.D. Salinger
0786868716,The Five People You Meet in Heaven,Mitch Albom
0743418174,Good in Bed,Jennifer Weiner
0345337662,Interview with the Vampire,Anne Rice
0375727345,House of Sand and Fog,Andre Dubus III
0156027321,Life of Pi,Yann Martel
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin
0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver
0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb
0446310786,To Kill a Mockingbird,Harper Lee
0440226430,Summer Sisters,Judy Blume
044021145X,The Firm,John Grisham
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling
0446605239,The Notebook,Nicholas Sparks
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM
0440241073,The Summons,John Grisham
0345370775,Jurassic Park,Michael Crichton
0345417623,Timeline,MICHAEL CRICHTON
0804106304,The Joy Luck Club,Amy Tan
0440211727,A Time to Kill,JOHN GRISHAM
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith
0345361792,A Prayer for Owen Meany,John Irving
0446610038,1st to Die: A Novel,James Patterson
0440214041,The Pelican Brief,John Grisham
0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch
0440234743,The Testament,John Grisham
0312291639,The Nanny Diaries: A Novel,Emma McLaughlin
0440206154,Red Dragon,Thomas Harris
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank
0345342968,Fahrenheit 451,RAY BRADBURY
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN
0060934417,Bel Canto: A Novel,Ann Patchett
0316776963,Me Talk Pretty One Day,David Sedaris
0060392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire
0842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
0375706771,Midwives: A Novel,Chris Bohjalian
044651652X,The Bridges of Madison County,Robert James Waller
0440221471,The Runaway Jury,JOHN GRISHAM
0380789035,American Gods,Neil Gaiman
0440236673,The Brethren,John Grisham
0671510053,SHIPPING NEWS,Annie Proulx
0440220602,The Chamber,John Grisham
0375707972,The Reader,Bernhard Schlink
0375726403,Empire Falls,Richard Russo
0440213525,The Client,John Grisham
0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers
0440224764,The Partner,John Grisham
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling
0440222656,The Horse Whisperer,Nicholas Evans
0452282829,We Were the Mulvaneys,Joyce Carol Oates
044022165X,The Rainmaker,JOHN GRISHAM
0060959037,Prodigal Summer: A Novel,Barbara Kingsolver
0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER
0345443284,While I Was Gone,Sue Miller
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling
0345353145,Sphere,MICHAEL CRICHTON
0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer
0805063897,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich
0375700757,Cold Mountain : A Novel,CHARLES FRAZIER
0316096199,Lucky : A Memoir,Alice Sebold
0440225701,The Street Lawyer,JOHN GRISHAM
0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling
0684874350,ANGELA'S ASHES,Frank McCourt
0446606812,Message in a Bottle,Nicholas Sparks
0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN
014028009X,Bridget Jones's Diary,Helen Fielding
0385486804,Into the Wild,Jon Krakauer
0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE
0142000205,Icy Sparks,Gwyn Hyman Rubio
0312305060,The Hours: A Novel,Michael Cunningham
0743237188,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald
0380789019,Neverwhere,Neil Gaiman
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling
068484477X,STONES FROM THE RIVER,Ursula Hegi
0446608955,A Walk to Remember,Nicholas Sparks
0553572997,The Alienist,Caleb Carr
0385505833,Skipping Christmas,JOHN GRISHAM
0316569321,White Oleander : A Novel,Janet Fitch
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling
0679746048,"Girl, Interrupted",SUSANNA KAYSEN
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card
0060915544,The Bean Trees,Barbara Kingsolver
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson
0385265700,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton
0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket
0140298479,Bridget Jones: The Edge of Reason,Helen Fielding
0671001795,Two for the Dough,Janet Evanovich
0312924585,Silence of the Lambs,Thomas Harris
0804114986,The Bonesetter's Daughter,Amy Tan
0385720106,A Map of the World,Jane Hamilton
0449212602,The Handmaid's Tale,Margaret Atwood
0439139600,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling
0446611867,A Bend in the Road,Nicholas Sparks
0399501487,Lord of the Flies,William Gerald Golding
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt
0385503822,The Summons,John Grisham
0684801523,The Great Gatsby,F. Scott Fitzgerald
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson
0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts
0440212561,Outlander,DIANA GABALDON
0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho
0446612545,The Beach House,James Patterson
0380731851,Mystic River,Dennis Lehane
1573229326,How to Be Good,Nick Hornby
0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich
0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON
0440219078,The Giver (21st Century Reference),LOIS LOWRY
0440224675,Hannibal,Thomas Harris
0451524934,1984,George Orwell
0140067477,The Tao of Pooh,Benjamin Hoff
0345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice
0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson
0380002930,Watership Down,Richard Adams
0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green
0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire
068484267X,Angela's Ashes: A Memoir,Frank McCourt
0425154092,From Potter's Field,Patricia Daniels Cornwell
0446607657,When the Wind Blows,James Patterson
0440226104,Black and Blue,ANNA QUINDLEN
0345378490,Congo,Michael Crichton
038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage
080410753X,The Kitchen God's Wife,Amy Tan
0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE
0060977493,The God of Small Things,Arundhati Roy
034540288X,The Lost World,Michael Crichton
0345384466,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE
0553582755,One Door Away from Heaven,Dean R. Koontz
0345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ
0671042858,The Girl Who Loved Tom Gordon,Stephen King
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield
0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
0440235596,Tara Road,Maeve Binchy
0060987561,I Know This Much Is True,Wally Lamb
0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder
074343627X,Dreamcatcher,Stephen King
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn
0671041789,The Green Mile,Stephen King
0151008116,Life of Pi,Yann Martel
0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon
